LotArea,NumBedrooms,NumBathrooms,SqftLiving,NumFloors,AgeOfHouse,Location,Condition,SalePrice
6972,3,1,2515,2,17,Downtown,Good,634634.3375119651
8205,1,2,1658,2,71,Rural,Poor,326798.04905654513
7194,2,3,1776,2,7,Suburb,Excellent,558380.4570204653
4902,5,2,1701,1,53,Rural,Good,458669.59348631836
10052,2,2,2936,1,16,Downtown,Excellent,744390.9702298508
10150,1,2,2101,1,30,Suburb,Excellent,575812.3710297112
7910,4,1,1613,1,30,Rural,Poor,350395.5987754548
7590,1,2,2463,2,34,Rural,Good,542999.8974139526
12179,4,3,2188,2,25,Rural,Good,521969.5546195086
6947,3,1,2342,1,82,Rural,Excellent,557344.6433626458
6980,5,3,1732,2,73,Suburb,Average,420010.47599804425
8228,3,3,2729,2,82,Suburb,Average,576729.2889974159
10442,2,1,2277,2,20,Suburb,Good,590511.3546094056
10685,4,2,1466,2,57,Suburb,Average,363961.6811340985
6982,4,2,1971,1,76,Rural,Good,436772.37527179194
8116,3,2,1731,1,15,Downtown,Excellent,600707.5449397957
4743,5,2,2544,1,85,Rural,Excellent,602683.8880205355
6876,5,2,2061,1,42,Rural,Average,450083.14410582447
5819,3,3,1380,2,38,Suburb,Good,408301.61754092644
5486,5,3,1150,1,21,Rural,Average,258017.7176080498
10863,2,1,2100,1,11,Rural,Poor,396744.39445487235
5915,1,2,1632,1,69,Rural,Good,393045.90048799233
6436,4,2,2647,1,85,Suburb,Excellent,688998.7419010053
8231,4,2,3230,2,86,Suburb,Good,695175.9987011427
10095,4,3,2831,2,90,Rural,Poor,519209.2450203515
8462,1,1,2107,2,17,Downtown,Excellent,611511.1874742806
13018,2,2,2083,2,72,Suburb,Poor,427568.2500712241
7350,3,1,2221,2,17,Suburb,Excellent,596438.7321392649
8017,5,3,1798,1,21,Downtown,Poor,454584.7491196075
8051,5,2,2224,2,51,Downtown,Poor,497206.3392522568
10370,1,3,2044,2,2,Rural,Poor,410081.21546865796
8514,4,2,857,2,58,Rural,Average,261610.86189315788
7267,5,1,1724,2,58,Suburb,Average,411560.85395864415
5605,3,2,2154,1,48,Downtown,Average,535155.2188477222
7988,5,2,1999,1,41,Rural,Excellent,531412.5137467803
10302,4,3,2299,2,29,Downtown,Average,586777.5191642463
6679,3,1,2991,1,89,Downtown,Average,652209.6910935714
8557,4,1,1935,1,83,Suburb,Excellent,549074.1371519456
7992,4,2,2727,2,96,Rural,Poor,567233.9855152424
9227,1,3,2774,2,76,Suburb,Good,578648.9962707985
5890,4,2,2001,1,49,Downtown,Average,541338.0506268042
12193,3,3,1456,1,47,Suburb,Good,411357.1883205937
4941,1,2,1966,1,38,Suburb,Poor,420013.34313591657
6768,1,2,2045,2,44,Downtown,Good,604402.9270467556
9376,3,3,1851,2,81,Rural,Poor,327752.7594104692
8093,1,2,1821,1,29,Downtown,Good,516443.88317969494
9159,3,1,2001,2,68,Suburb,Excellent,564234.4904852316
6507,5,1,2289,1,22,Suburb,Excellent,617336.7597581799
7350,1,3,1202,2,78,Rural,Good,331107.7411375591
7524,5,3,1462,2,36,Downtown,Excellent,545718.0725136568
10638,1,2,1232,1,49,Suburb,Poor,290601.8706734501
8880,4,2,2147,1,80,Downtown,Poor,490503.75449186686
9093,3,1,2388,1,79,Rural,Average,451425.3210937639
6184,4,3,2267,1,31,Downtown,Poor,546827.3913900545
9437,5,3,1819,1,17,Downtown,Average,482258.6286993567
7951,3,1,2209,1,64,Suburb,Average,473972.80387874425
10278,3,3,2512,1,15,Downtown,Poor,571682.1488314905
11528,5,2,2358,2,66,Rural,Excellent,578788.6222710013
6886,3,3,1705,2,93,Suburb,Good,495874.13249432074
6687,3,3,1170,2,45,Rural,Excellent,387672.8383022228
5771,1,2,1720,1,58,Downtown,Average,441864.8230052169
7212,2,2,1650,1,34,Downtown,Average,436471.26408369676
6735,4,1,1599,1,77,Suburb,Average,409414.41563342843
8219,2,1,3105,2,50,Downtown,Poor,616477.9067092766
7210,3,1,1590,2,94,Downtown,Poor,426103.6130934194
6776,2,3,2101,1,67,Rural,Good,478404.86919927236
9629,1,2,1924,1,97,Downtown,Excellent,582797.7312002567
5624,5,3,2124,1,54,Suburb,Excellent,621946.0206780888
8366,5,2,929,1,99,Suburb,Average,335047.46274031705
6688,2,2,2509,2,59,Rural,Good,555440.2915113526
8948,1,3,1725,2,19,Rural,Poor,348640.72123223584
10270,5,3,1645,1,4,Downtown,Average,485060.82172648783
6893,2,3,1586,2,75,Downtown,Excellent,518940.208340869
8382,2,2,1240,2,50,Rural,Poor,277157.9597031615
7857,4,2,3009,1,37,Suburb,Excellent,744083.6435717854
5901,1,3,1733,2,78,Rural,Average,343241.76880793576
7981,4,2,2517,1,47,Suburb,Poor,534886.0579594191
8078,2,2,2215,2,76,Suburb,Poor,445456.20210250793
8325,4,3,2698,2,42,Rural,Good,588606.3437488775
7103,4,2,1847,1,49,Suburb,Good,482237.9901530287
7688,2,1,2971,1,28,Suburb,Poor,580179.4787596909
5204,5,3,2227,2,84,Downtown,Average,548668.9652928399
6783,3,1,1214,2,96,Downtown,Good,437724.9002732099
